"ID","Place","DecLatitude","DecLongitude","Source","ModernName","Alternative.Name","Near","Ocean","Spanish","Dutch","French","Notes"
"33","Altea","38.6167","-0.05","Times Atlas of the World","Altea, Spain","","","Mediterranean Sea","","",NA,""
"34","Amboina","-3.68333333333333","128.166666666667","Lloyds Maritime Atlas","Ambon, Indonesia","","","Banda Sea","","",NA,""
"35","Ambon","-3.68333333333333","128.166666666667","Lloyds Maritime Atlas","Ambon, indonesia","","","Banda Sea","","",NA,""
"36","Amselly, Morro del Ancia Norte","25.42","-14.67","","Morro del Anela Norte, Western Sahara","","","NorthAtlantic Ocean","","",NA,""
"37","Amsterdam","-37.85","77.5333","Lloyds Maritme Atlas","Amsterdam Island","","","Indian Ocean","","",NA,""
"38","Amsterdam eiland","-37.85","77.5333333333333","Lloyds Maritime Atlas","Amsterdam Island","","St Paul Island","Indian Ocean","","",NA,""
"39","Andaman islands (Bay of Bengal. estim.)","13","93","","Andaman Islands, India","","","Bay of Bengal, Indian Ocean","","",NA,""
"40","Angora Island","-16.17","39.97","Times Atlas of the World","Ilhas de Angoche","","","","","",NA,""
"41","Angroston","38.6667","-27.3333","Times Atlas of the World","probably Angra do Heroismo, Terceira, Azores","","","North Atlantic Ocean","","",NA,""
"42","Anguilla","18.2","-63","http://www.anguillaguide.com/article/archive/105/","","","","","","",NA,""
"43","Anjanga","8.67","76.78","","Anjengo, Kerala, SW India","","","Indian Ocean","","",NA,""
"44","Anjango","8.67","76.78","","Anjengo, Kerala, SW India","","","Indian Ocean","","",NA,""
"45","Anjango Road","8.67","76.78","","Anjengo, Kerala, SW India","","","","","",NA,""
"46","Anjengo","8.67","76.78","","Anjengo, Kerala, SW India","","","Indian Ocean","","",NA,""
"47","Anjengo Road","8.66666666666667","76.7833333333333","","Anjengo, Kerala, SW India","","","Indian Ocean","","",NA,""
"48","Anjer","-6.05","105.916666666667","Times Atlas of the World","Anyar, Java, Indonesia","","","Selat Sunda, Indian Ocean","","",NA,""
"49","Anjer bij Batavia","-6.05","105.9167","Times Atlas of the World","Anyar, Java, Indonesia","","","","","",NA,""
"50","Anjoxa","-16.17","39.97","Times Atlas of the World","Ilhas de Angoche","","","","","",NA,""
"51","Anna Bona","-1.43","5.62","","Pagalu or Annobon (Island W Afr. Coast)","","","South Atlantic Ocean","","",NA,""
"52","Anna Maria (Noahiwa)","-8.9333","-140.0833","www.traveljournals.net","Anna Maria Bay, Marquesas Is.","","","","","",NA,""
"53","Annabon Island","-1.43","5.62","","Pagalu or Annobon (Island W Afr. Coast)","","","South Atlantic Ocean","","",NA,""
"54","Annabona","-1.43","5.62","","Pagalu or Annobon (Island W Afr. Coast)","","","South Atlantic Ocean","","",NA,""
"55","Annamaboa","-1.43","5.62","","Pagalu or Annobon (Island W Afr. Coast)","","","South Atlantic Ocean","","",NA,""
"56","Annamboe","-1.43","5.62","","Pagalu or Annobon (Island W Afr. Coast)","","","South Atlantic Ocean","","",NA,""
"57","Antegua","17.15","-61.82","","Antigua, Windward Islands, Carib.","","","Caribbean Sea","","",NA,""
"58","Antigua","17.15","-61.82","","Antigua, Windward Islands, Carib.","","","Caribbean Sea","","",NA,""
"59","Aquadilla, Porto Rico","18.45","-67.1333","Times Atlas of the World","Aguadilla, Puerto Rico","","","","","",NA,""
"60","Aquita of Quita","5.91666666666667","1.01666666666667","Times Atlas of the World","Keta, Ghana, Africa","","","North Atlantic Ocean","","",NA,""
"61","Arika","-18.5","-70.3333","Times Atlas of the World","Arica, Chile","","","","","",NA,""
"62","Armagon","13.92","80.23","","Armagon, India","","","Indian Ocean","","",NA,""
"63","Arramoora","12.62","44.08","","","","","","","",NA,""
"64","Ascension","-7.95","-14.37","","","","","","","",NA,""
"65","Ascension Island","-7.95","-14.37","","","","","","","",NA,""
"66","Ascention","-7.95","-14.37","","","","","","","",NA,""
"67","Assine","5.15","-3.38333333333333","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","","","","","","",NA,""
"68","Atabasta, W of Madacascar","-22.5","43.68","","","","","","","",NA,""
"69","Atooi","22.07","-159.5","Davidrumsey.com","Kauai, Hawaiian Island","","","","","",NA,""
"70","Augustine","-8.1","-34.88","","","","","","","",NA,""
"71","Avatscha","53.1167","-158.55","Times Atlas of the World","Avacha, Rusia","","","","","",NA,""
"72","Avery Island","-23.5","43.68","Times Atlas of the World","","","off St Augustine, Madagascar","Indian Ocean","","",NA,""
"73","Avery's Island","-23.5","43.68","Times Atlas of the World","","","off St Augustine, Madagascar","Indian Ocean","","",NA,""
"74","Axim","4.86666666666667","-2.25","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","","","","","","",NA,""
"75","Azim","4.86666666666667","-2.25","Algemeen woordenboek der Aardrijkskunde, Vorsterman van Oyen","","","","","","",NA,""
"76","Azores (general. estimate)","38","-26","","","","","","","",NA,""
"77","Baai Fals","-34.35","18.5","Pilot #2, p191","Cape of Good Hope, South Africa","","","","","",NA,""
"78","Baai Falso","-34.35","18.5","Pilot #2, p191","Cape of Good Hope, South Africa","","","","","",NA,""
"79","Baai Morte","51.1666666666667","-4.25","Lloyds Maritime Atlas","Morte Bay, Devon, England","","","","","",NA,""
"80","Baai St Anna","12.2","-68.95","Times Atlas of the World","St. Anna Baai, Curacao","","","","","",NA,""
"81","Baai van Cavite (Cavite 14:29N, 120:54O)","14.4833","120.9","","","","","","","",NA,""
"82","Baai van Granada","12.05","-61.74","Times Atlas of the World","probably St. George's Bay, Grenada, Windward Islands","","","","","",NA,""
"83","Baai van Massachusets","42.8","-70.5","Times Atlas of the World","Massachusetts Bay, USA","","Boston","","","",NA,""
"84","Baai van Porto Praia/St. Jago","14.92","-23.52","","","","","","","",NA,""
"85","Baaij Arioka","-18.5","-70.3333","Times Atlas of the World","probably Arica Bay, Chile","","Arica, Chile","","","",NA,""
"86","Baaij Falso","-34.35","18.5","Pilot #2, p191","Cape of Good Hope, South Africa","","","","","",NA,""
"87","Baaij te Karakokoa (Kealakekua Bay, bij Napoopoo)","19.52","-155.9333","Times Atlas of the World","Kealakekua Bay, Hawaiian islands, USA","","","","","",NA,""
"88","Baaij van La Lus (grand Canarien)","28.1333","-15.45","Times Atlas of the world","Probably Puerto de la Luz, Las Palmas de Gran Canaria, Gran Canaria, Canary Islands","","","","","",NA,""
"89","Babelmandel Isl. (Perim I. Red Sea)","12.67","43.4","","","","","","","",NA,""
"90","Baceleau Island","48.1666666666667","-53","","","","Newfoundland, 50 miles north of St Johns","North Atlantic","","",NA,""
"91","Back Bay, Trincomalee","8.57","81.22","Times Atlas of the World","Trincomalee, Sri Lanka","","","","","",NA,""
"92","Bahamas","26.55","-78.8","Lloyds Maritime Atlas","","","","","","",NA,""
"93","Bahia","-12.9666666666667","-38.5166666666667","Lloyds Maritime Atlas","Salvador, Brasil","","","","","",NA,""
"94","Bahia de Todos los Santos","-13.0167","-38.5333","Pilot #5, p. 109","Bahia de Todos los Santos, Brasil","","","South Atlantic Ocean","","",NA,""
"95","Bali","-8.5","115","","Rough estimate","","","","","",NA,""
"96","Bali (Java)","-8.5","115","","Rough estimate","","","","","",NA,""
"97","Ballasore (Ballashwar), Bengal","21.52","86.98","","","","","","","",NA,""
"98","Baltimore harbour","39.2833333333333","-76.5833333333333","Lloyds Maritime Atlas","","","","","","",NA,""
"99","Bananas","8.12","-13.25","Times Atlas of the World","Banana Island","","","","","",NA,""
"100","Banda","-4.55","129.9","Lloyds Maritime Atlas","Neira, Banda, Indonesia","","","","","",NA,""
"101","Bandidan, Penida, between Bali & Lombok","-8.67","115.5","","","","","","","",NA,""
"102","Banguey","7","117","Internet","Banguey Island","","","Pacific","","",NA,""
"103","Banjoewangie","-8.1","114.4","Lloyds Maritime Atlas","Java, Indonesia","","","","","",NA,""
"104","Bank of Pannacel","-17.5","44.5","South Indian Ocean Pilot, #39","Probably meant ""Bank of Parcel""","","","","","",NA,""
"105","Bantam","-6","106.15","Times Atlas of the World","Banten, Java, Indonesia","","","","","",NA,""
"106","Barbados","13.1","-59.62","","","","","","","",NA,""
"107","Barbados (Bridgetown, Carlisle Bay)","13.1","-59.62","","","","","","","",NA,""
"108","Barbados (Carlisle Bay)","13.1","-59.62","","","","","","","",NA,""
"109","Barbuda","17.58","-61.77","Lloyds Maritime Atlas","","","","","","",NA,""
"110","Barcaleau","48.1666666666667","-53","","","","Newfoundland, 50 miles north of St Johns","North Atlantic","","",NA,""
"111","Barcelona","41.4167","2.1667","Times Atlas of the World","Barcelona, Spain","","","Mediterranean Sea","","",NA,""
"112","Baroes","2.03333333333333","98.3333333333333","Lloyds Maritime Atlas","Barus, Sumatra, Indonesia","","","","","",NA,""
"113","Bassas","-22","39.7","","Bassas da India, Mozambique Channel","","","","","",NA,""
"114","Basse Terre","16.2333","-61.5333","http://www.timeanddate.com/worldclock/city.html?n=707","Basse-Terre","","","North Atlantic","","",NA,""
"115","Batavia","-6.15","106.916666666667","Lloyds Maritime Atlas","Jakarta, Java, Indonesia","","","","","",NA,""
"116","Batowia Road","-6.15","106.916666666667","Lloyds Maritime Atlas","Jakarta, Java, Indonesia","","","","","",NA,""
"117","Bay of Bulls","47.67","-52.83","","","","Near Cape Broyle, 30 miles south of St Johns, Newfoundland","North Atlantic","","",NA,""
"118","Bay of Success","-54.86","-65.3","David Rumsey op internet","Cabo San Gonzales, Tierra Del Fuego","","","South Atlantic","","",NA,""
"119","Beachy Head, Sussex, UK","50.73","0.27","","","","","","","",NA,""
"120","Bear island, Hudson Bay","54.33","-81","","","","","","","",NA,""
"121","Bell Isle, Bay of Biscay","47.38","-3.3","Bay of Biscay Pilot. # 22","Belle Isle (France)","","","","","",NA,""
"122","Bellazoor","21.5167","86.9833","Times Atlas of the World","Baleshwar, Orissa, India","","","","","",NA,""
"123","Belle Isle, NWFL","51.92","-55.33","","","","","","","",NA,""
"124","Bencolen (Bengkulu), Sumatra","-3.77","102.27","","Bengkulu, Sumatra, Indonesia","","","","","",NA,""
"125","Bencoolen","-3.77","102.27","","Bengkulu, Sumatra, Indonesia","","","","","",NA,""
"126","Bengal","22.28","87.97","","","","","","","",NA,""
"127","Bengal road (Tamluk, Sillabati)","22.28","87.97","","","","","","","",NA,""
"128","Benidorm","38.55","-0.15","Times Atlas of the World","Benidorm, Spain","","","Mediterranean Sea","","",NA,""
"129","Benkulen","-3.76666666666667","102.27","","Bengkulu","Bencoolen","West coast of Sumatra","Indian","","",NA,""
"130","Berbiecie rivier","6.38333333333333","-57.4666666666667","Lloyds Maritime Atlas","River Berbice, Guyana","","","","","",NA,""
"131","Berby Point","4.65","-6.88","Lloyds Maritime Atlas","Grand Bereby (?)","","","","","",NA,""
"132","Bergen","60.4","5.31666666666667","Lloyds Maritime Atlas","Norway","","","","","",NA,""
"133","Bermuda","32","-64.68","","","","","","","",NA,""
"134","Bermudas","32","-64.68","","","","","","","",NA,""
"135","Bintang Hill","0.82","104.58","Pilot #36 (Indonesia)","Gunung Bintang","","","","","",NA,""
"136","Bird Island, French Polynesia","-17.8333333333333","-143","","","Reitoru","French Polynesia, Tuamotu Islands","Pacific","","",NA,""
"137","Bird Island, Seycelle Islands","3","56","","","","Seychelle Islands","Indian Ocean","","",NA,""
"138","Black Point","80",NA,"","","","Spitzbergen","North Atlantic","","",NA,""
"139","Blaskets, Irish W coast","52.08","-10.53","","","","","","","",NA,""
"140","Block Island","41.15","-71.55","Lloyds Maritime Atlas","","","","","","",NA,""
"141","Bocht van Anjer","-6.05","105.916666666667","Times Atlas of the World","Anyar, Java, Indonesia","","","","","",NA,""
"142","Bocht van Bantam","-6","106.15","Times Atlas of the World","Banten, Java, Indonesia","","","","","",NA,""
"143","Bocht van Indermaijo, noord-java","-6.2667","108.32","Encarta","","","","","","",NA,"estimate"
"144","Bocht van Samarang","-6.9667","110.4","Encarta","","","","","","",NA,"estimate"
"145","Boeton","-5","123","","Buton","Bouton, Straits of Bouton","Southern Celebes","Indian Ocean - Pacific","","",NA,""
"146","Bombarrick","25.63","57.77","","Jask, Iran","","North side of the entrance of the Persian Gulf","Indian Ocean","","",NA,""
"147","Bombay","18.93","72.85","","","","","","","",NA,""
"148","Bombay Harbour","18.93","72.85","","","","","","","",NA,""
"149","Bombay hook","39.35","-75.48","Lloyds Maritime Atlas","Bombay Hook, Maryland, USA","","","","","",NA,""
"150","Bombay Road","18.93","72.85","","","","","","","",NA,""
"151","Bombay, India","18.93","72.85","","","","","","","",NA,""
"152","Bona Vista","15.97","-22.83","","Boa Vista","","Cape Verde Islands","North Atlantic","","",NA,""
"153","Bonavista","15.97","-22.83","","Boa Vista, Cape Verdes (Punta Tarafo)","","","","","",NA,""
"154","Booby Island","-4.23","55.68","Times Atlas of the World","Booby Island, Seychelles","","off Rodriguez","Indian Ocean","","",NA,""
"155","Bordeaux","44.8333","-0.5667","Times Atlas of the World","Bordeaux, France","","","North Atlantic","","",NA,""
"156","Borneo","-4.2","114.7","Indonesia Pilot #34","","","","","","",NA,""
"157","Boston","42.32","-70.9333","","","","","","","",NA,""
"158","Boston Entrance","42.32","-70.9333","","","","","","","",NA,""
"159","Boston Lighthouse","42.33","-71.08","","","","","","","",NA,""
"160","Botal Jobaeo Jima, NE Formosa (Batan?)","-20.58","121.95","","","","","","","",NA,""
"161","Botany Bay (Aus)","-33.98","151.2","","","","","","","",NA,""
"162","Bottewa","5.0881","-9.2273","www.DavidRumsey.com","","","Probably between Greenville and Sanguin in Liberia.","","","",NA,""
"163","Bourbon","-20.17","57.5","","Bourbon, Ile de (Reunion), Madagascar","","","","","",NA,""
"164","Bourbon (Reunion Is?)","-20.17","57.5","","Bourbon, Ile de (Reunion), Madagascar","","","","","",NA,""
"165","Bouro","-3","127","","Buru","Boero","Between Celebes and New Guinea","Indian Ocean - Pacific","","",NA,""
"166","Bow Island","-18.25","-141","","","Hao","French Polynesia, Tuamotu Islands","Pacific","","",NA,""
"167","Braamspunt","6","-55.17","Times Atlas of the World","Braamspunt, Surinam","","","","","",NA,""
"168","Brabands Hoedje","-6","105.933333333333","Pilot #36 (Indonesia)","Pulau Leneng, Java, Indonesia","","","","","",NA,""
"169","Bramspunt","6","-55.17","Times Atlas of the World","Braamspunt, Suriname","","","","","",NA,""
"170","Brandwacht","6.38333333333333","-57.4666666666667","Lloyds Maritime Atlas","On the River Berbice, Guyana","","","","","",NA,""
"171","Brandwagt","6.38333333333333","-57.4666666666667","Lloyds Maritime Atlas","On the River Berbice, Guyana","","","","","",NA,""
"172","Brava","14.87","-24.72","","","","","","","",NA,""
"173","Bravo (Brava) island, near Palma","14.87","-24.72","","","","","","","",NA,""
"174","Brazen Head (Madeira)","32.63","-16.9","","","","","","","",NA,""
"175","Brest","48.383","-4.5","","","","","","","",NA,""
"176","Bretts Harbour","-51.25","-65.3333333333333","","","","West of Port Egmont, Falkland Islands","South Atlantic","","",NA,""
"177","Brissel","64.8","-14","Times Atlas of the World","probably Breidhdalsvik","Brizell","Iceland","North Atlantic","","",NA,""
"178","Brissell Harbour","64.8","-14","Times Atlas of the World","probably Breidhdalsvik","","","","","",NA,""
"179","Brizell harbour","64.8","-14","Times Atlas of the World","probably Breidhdalsvik","","","","","",NA,""
"180","Brouwershaven","51.733","3.917","","","","","","","",NA,""
"181","Bruck Island",NA,NA,"","","","NE of Falklands","South Atlantic","","",NA,""
"182","Brunet Bay","47.27","-55.9","Times Atlas of the World","Probably on Brunette Island, Newfoundland, Canada","","Newfoundland","North Atlantic","","",NA,""
"183","Buenos Aires","-34.667","-58.5","","","","","","","",NA,""
"184","Buffels Punt","-34.17","18.28","Times Atlas of the World","","","Buffelsbaai, Cape of Good Hope, South Africa","","","",NA,""
"185","Burton Island","60.5","-64.5","","","","","","","",NA,""
"186","Button Island","60.5","-64.5","","","","","","","",NA,""
"187","Button Islands","60.5","-64.5","","","","","","","",NA,""
"188","Buttons Islands","60.5","-64.5","","","","","","","",NA,""
"189","Buttons Islands HB","60.5","-64.5","","","","","","","",NA,""
"190","Byron's Bay, Labrador (near Hopedale?)","55.5","-60.17","","","","","","","",NA,""
"191","Caabo Goede Hoop","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"192","Caap de Goede Hoop","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"193","Cabello",NA,"74","","","","","","","",NA,"estimate"
"194","Cabenda Bay, E Africa","-5","39","","","","","","","",NA,""
"195","Cabo Branco","-6.9667","-34.8333","","","","","","","",NA,"estimate"
"196","Cabo de Buena Esperanza","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"197","Cabo de Goede Hoop","-34.3667","18.4667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"198","Cabo de Hoop","-34.3667","18.4667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"199","Cadiz","36.53","-6.3","","","","","","","",NA,""
"200","Cadiz (Cadix)","36.53","-6.3","","","","","","","",NA,""
"201","Cadiz Bay","36.53","-6.3","","","","","","","",NA,""
"202","Caicos","21.83","-71.83","","","","","","","",NA,""
"203","Caicos (near Heneago & Dominican Rep.)","21.83","-71.83","","","","","","","",NA,""
"204","Caicos Bank","21.83","-71.83","","","","Bahamas","North Atlantic","","",NA,""
"205","Calcutta","22.57","88.33","","","","","","","",NA,""
"206","Calipima","10.05","73.63","RayTech Navigator","","Kalpeni","Laccadive Islands ","Indian Ocean","","",NA,""
"207","Calipina","10.05","73.63","RayTech Navigator","","Kalpeni","Laccadive Islands ","Indian Ocean","","",NA,""
"208","Callao","-12.03","-77.17","Lloyds Maritime Atlas","callao","","","","","",NA,""
"209","Callicut","11.27","75.8","","","","","","","",NA,""
"210","Camarina","43.12","-9.12","http://www.pueblos-espana.org/galicia/la+coruna/camarinas/","","","","","","",NA,""
"211","Camarinas","43.12","-9.12","http://www.pueblos-espana.org/galicia/la+coruna/camarinas/","","","","","","",NA,""
"212","Camboyna","-5","122","","Kabaena","","South end of Celebes","Indian Ocean - Pacific","","",NA,""
"213","Camero","-12.75","43.35","","Ile Grande Comore","","","","","",NA,""
"214","Canal de Santa Barbara","34.3","-120","Times Atlas of the World","Santa Barbara Channel, USA","","Los Angeles, USA","","","",NA,""
"215","Canala (Minicoy Island, Laccadives?)","8.48","73.02","","","","","","","",NA,""
"216","Canaria","28.13","-15.45","Times Atlas of the World","Las Palmas de Gran Canaria","","","","","",NA,""
"217","Cannary","18.85","72.3","","","Cunarey","Bears S by W1/2W 11 miles from Bombay Fort","Indian Ocean","","",NA,""
"218","Cannary (alt)","18.7","72.82","NMM en Pilot 38","Khanderi Island seems to fit.","","","","","",NA,""
"219","Canton","23.12","113.23","Lloyds Maritime Atlas","Guangzhou (China)","","","","","",NA,""
"220","Cap Blanc","20.77","-17.05","Africa Pilot Vol. I, #1","Cap Blanc","","","","","",NA,""
"221","Cap des Aiguilles (Cape Agulhas)","-34.83","20","","","","","","","",NA,""
"222","Cape Aden","12.78","45.05","","","","","","","",NA,""
"223","Cape Aden (city)","12.78","45.05","","","","","","","",NA,""
"224","Cape Agulhas","-34.83","20","","","","","","","",NA,""
"225","Cape Agulhas (Lagulas), S Africa","-34.83","20","","","","","","","",NA,""
"226","Cape Agullas","-34.83","20","","","","","","","",NA,""
"227","Cape Ann","42.65","-70.6","","","","","","","",NA,""
"228","Cape Ann, Maine","42.65","-70.6","","","","","","","",NA,""
"229","Cape Appolonia","4.98333333333333","2.55","Times Atlas of the World","Beyin, Ghana","","west of Cape Three Points, Ghana","North Atlantic","","",NA,""
"230","Cape Babolmandel","12.67","43.4","","","","","","","",NA,""
"231","Cape Bartholemews, Arg. (C. San Juan)","-54.72","-65.12","","","","","","","",NA,""
"232","Cape Basses, Mereghi, Somalia?","3.75","47.25","","","","","","","",NA,""
"233","Cape Bassos",NA,"48.5","","","","","","","",NA,""
"234","Cape Blanca","20.77","-17.05","Africa Pilot Vol. I, #1","Cap Blanc","","","","","",NA,""
"235","Cape Blanco","20.77","-17.05","Africa Pilot Vol. I, #1","Cap Blanc","","","","","",NA,""
"236","Cape Blanco, Patagonia","-47.25","-65.77","","","","","","","",NA,""
"237","Cape Blanco?","20.77","-17.05","Africa Pilot Vol. I, #1","Cap Blanc","","","","","",NA,""
"238","Cape Bon Esperance","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"239","Cape Bona","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"240","Cape Bona Esperance","-34.3666666666667","18.4666666666667","Lloyds Maritime Atlas","Cape of Good Hope, South Africa","","","","","",NA,""
"241","Cape Brion","43.65","-1.45","Bay of Biscay Pilot. #22","Cap Breton?","","Northern Spain","North Atlantic","","",NA,"used for Newcastle, file no. NA5610Newcastle"
"242","Cape Brion?","43.65","-1.45","Bay of Biscay Pilot. #22","Cap Breton?","","","","","",NA,""
"243","Cape Broyle","47.07","-52.85","","Cape Broyle, Newfoundland","","South of St Johns Newfoundland","North Atlantic","","",NA,""
"244","Cape Cambell, New Zealand","-41.73","174.3","","","","","","","",NA,""
"245","Cape Canso","45.3","-60.9333","","","","Eastern side of Nova Scotia","North Atlantic","","",NA,""
"246","Cape Cantin(?)","32.5","-9.5","Clive Wilkinson","","","","","","",NA,""
"247","Cape Charles","37.12","-75.98","Lloyds Maritime Atlas","Cape Charles, VA","","","","","",NA,""
"248","Cape Clear","51.43","-9.5","","Cape Clear, Ireland","","","","","",NA,""
"249","Cape Coast","5.15","-1.27","Lloyds Maritime Atlas","Cape Coast","","","","","",NA,""
"250","Cape Coast castle (Ghana), near Elmina?","4.75","-1.32","","","","","","","",NA,""
"251","Cape Cod","41.93","-70.1","","","","","","","",NA,""
"252","Cape Cod, Massachusetts (Provincetown)","41.93","-70.1","","","","","","","",NA,""
"253","Cape Comarine","8.1","77.55","","","Cape Comaroon??","Southern end of Malabar Coast, India","Indian Ocean","","",NA,""
"254","Cape Comerin","8.1","77.55","","","","","","","",NA,""
"255","Cape Comerine","8.1","77.55","","","","","","","",NA,""
"256","Cape Commarine","8.1","77.55","","","","","","","",NA,""
"257","Cape Commorino","8.1","77.55","","","","","","","",NA,""
"258","Cape Comorin (Comaroon), India","8.1","77.55","","","","","","","",NA,""
"259","Cape Comtin","32.5","-9.5","","","Cape Cantin","Coast of Africa, south of Cape Blanco, opposite Madeira","North Atlantic","","",NA,""
"260","Cape Coriantes","-24.1","35.5","","Cabo das Correntes","","","","","",NA,""
"261","Cape Corientes","-24.1","35.5","","Cabo das Correntes","","","","","",NA,""
"262","Cape Cornwell","50.13","-5.7","Lloyds Maritime Atlas","Cape Cornwall","","","","","",NA,""
"263","Cape Correntes (Corrantes), Mozambique","-24.1","35.5","","Cabo das Correntes","","","","","",NA,""
"264","Cape Correnties","-16","35","","","Cape Corentes","Nacala, coast of Mozambique","Indian Ocean","","",NA,""
"265","Cape de Grat","51.65","-55.4","Pilot #50","Cape Bauld, Newfoundland, Canada","","Newfoundland","North Atlantic","","",NA,""
"266","Cape de Saint de Maria","36.97","-7.9","West Coast of Spain and Portugal Pilot. #67","Cabo de Santa Maria","","","","","",NA,""
"267","Cape de Verd","14.72","-17.52","","","","","","","",NA,""
"268","Cape de Verde","14.72","-17.52","","","","","","","",NA,""
"269","Cape Diggs, Diggs isl, HB","63","-78","","","","","","","",NA,""
"270","Cape Dolphin","-51.25","-58.95","http://www.math.udel.edu/~monk/Personal/Falklands_2000/falkland_map.jpg","","","East Falkland","South Atlantic","","",NA,"Estimate"
"271","Cape Dolpin","-51.25","-58.95","http://www.math.udel.edu/~monk/Personal/Falklands_2000/falkland_map.jpg","Cape Dolphin","","East Falkland","South Atlantic","","",NA,"Estimate"
"272","Cape Dondra","6","80.5","","","","Southern end of Sri Lanka","Indian","","",NA,""
