"ID","ShipName","LogbookIdent","Duplicate"
139,"Batavia","Extract C, Reis 11, p169-179",0
140,"Batavia","Extract C, Reis 20, pp.250-257",0
141,"Batavia","Extract C, Reis 7, pp. 106-114",0
142,"Batavia","Extract D, Reis 3",0
143,"Batavia","Extract L, Reis 3",0
144,"Batavia","MAR_D23905_439",0
145,"Bato","MAR_D23318_114",0
146,"Beaver","NMM ADM/L/B30",0
147,"Beaver","NMM ADM/L/B31",0
148,"Beaver","NMM ADM/L/B33",0
149,"Belle Isle","NMM ADM/L/B54",0
150,"Belleisle","NMM ADM/L/B52",0
151,"Bellona","ADM_177_1204A",0
152,"Bellona","BL L/MAR/B/353A",0
153,"Bellona","BL L/MAR/B/353B",0
154,"Bellona","BL L/MAR/B/353C",0
155,"Bellona","MAR_D23318_37",0
156,"Bellona","MAR_D23905_490",0
157,"Bellona","MAR_D23905_492",0
158,"Bellona","MMR_WAE188",0
159,"Bellona","Extract T, Reis 17",1
160,"Bellona","Extract 17+, Reis 19",2
161,"Belmont","BL L/MAR/B/444D",0
162,"Bittern","NMM ADM/L/B94",0
163,"Blanche","NMM ADM/L/B97",0
164,"Blandford","NMM ADM/L/B103",0
165,"Blonde","NMM ADM/L/B116",0
166,"Boreas","ADM_193_16",0
167,"Boreas","Extract T, Reis 13",0
168,"Boreas","Extract T, Reis 16",0
169,"Boreas","Extract V, Reis 6, pp. 48-52",0
170,"Boreas","Extract V, Reis 8, pp. 66-71",0
171,"Boreas","Extract X, Reis 5, p1-10",0
172,"Boreas","NMM ADM/L/B134",0
173,"Boreas","NMM ADM/L/B136",0
174,"Boreas","Extract X, Reis 8",1
175,"Borssele","VOC_152_11421",0
176,"Bos en Hoven","VOC_152_5130",0
177,"Boston","NMM ADM/L/B138",0
178,"Botland","GAA_Bibliotheek_M951_59",0
179,"Boyne","NMM ADM/L/B149",0
180,"Braave","MAR_D23318_33",0
181,"Brak","ADM_177_1196",0
182,"Bridgewater","BL L/MAR/B/42I",0
183,"Bristol","NMM ADM/L/B125B",0
184,"Britannia","BL L/MAR/B/285CCC",0
185,"Broederslust","MMR_H692",0
186,"Bromo","Extract V, pp. 13-16",0
187,"Bromo","Extract V, pp. 8-12",0
188,"Bromo","Extract V, Reis 03, pp. 17-21",0
189,"Brune","NMM ADM/L/B94",0
190,"Brutus","MAR_D23318_93",0
191,"Buckingham","NMM ADM/L/B195",0
192,"BUEN CONSEJO","MS. 272 DOC 11",0
193,"Buitenzorg","Extract Y, pp 278-283",0
194,"Buitenzorg","Extract Y, Reis 25",0
195,"Buitenzorg","Extract Y, Reis 5, pp 39-45",0
196,"Bulldog","NMM ADM/L/B200",0
197,"Burford","NMM ADM/L/B212",0
198,"Burford","NMM ADM/L/B214",0
199,"Busbridge","BL L/MAR/B/413A",0
200,"Busbridge","BL L/MAR/B/413B",0
201,"Busbridge","BL L/MAR/B/413C",0
202,"Cadmus","A2419(1)_1-300",0
203,"Calcutta","BL L/MAR/B/308M",0
204,"Calypso","NMM ADM/L/C3",0
205,"Camel","NMM ADM/L/C20",0
206,"Camel","NMM ADM/L/C21",0
207,"Candia","I-37",0
208,"Caroline","NMM ADM/L/C59",0
209,"Carysfort","NMM ADM/L/C61",0
210,"Carysfort","NMM ADM/L/C64",0
211,"Castle Huntley","NMM LOG/C/33",0
212,"Castle Huntley","NMM LOG/C/47",0
213,"Castle Huntley","NMM LOG/C/48",0
214,"Castor","ADM_177_1170",0
215,"Castor","ADM_177_1186",0
216,"Castor","MAR_D23318_40",0
217,"Castor","MAR_D23905_823",0
218,"Castor","Extract T, Reis 9",1
219,"Catharina","Extract C, Reis 9, p.142-162",0
220,"Catharina Johanna","Extract M, Reis 40, pp 184-191",0
221,"Catharina Johanna","Extract P, Reis 3",0
222,"Caton","NMM ADM/L/C276",0
223,"Celebes","Extract C, Reis 3",0
224,"Centurian","NMM ADM/L/C92",0
225,"Ceres","ADM_177_1198",0
226,"Ceres","ADM_177_1230",0
227,"Ceres","Extract V, Reis 11, pp.82-93",0
228,"Ceres","MAR_D23318_164",0
229,"Ceres","NMM HMN/150",0
230,"Charon","NMM ADM/L/C111",0
231,"Chatham","NMM ADM/L/C123",0
232,"Chatham","NMM ADM/L/C124",0
233,"Chatham","NMM ADM/L/C126",0
234,"Chesterfield","NMM ADM/L/C137",0
235,"Chesterfield","NMM ADM/L/C138",0
236,"Chichester","NMM ADM/L/C146",0
237,"China","Extract O, Reis 08, p. 51-63",0
238,"Christiaan Huijgens","Extract H, Reis 1",0
239,"Christina","MMR_WAE187",0
240,"Claudius Civilis","Extract O, Reis 17",0
241,"Clive","BL L/MAR/B/533A",0
242,"Clive","BL L/MAR/B/533B",0
243,"Clive","BL L/MAR/B/533C",0
244,"Clive","BL L/MAR/B/533D",0
245,"Colchester","BL L/MAR/B/113C",0
246,"Colchester","NMM ADM/L/C165",0
247,"Coldstream","BL L/MAR/B/5C",0
248,"Concorde","NMM ADM/L/C174",0
249,"Conqueror","NMM ADM/L/C179",0
250,"Constellation","ADM_181_IX-3",0
251,"Conway","NMM MLN/101/2",0
252,"Cormorant","NMM ADM/L/C194",0
253,"Cornelia","Extract M, Reis 41, pp.193-209",0
254,"Cornelia Sara","Extract T, Reis 27",0
255,"CORTES","CORREOS, 194B R6",0
256,"CORTES","CORREOS, 194B R7",0
257,"CORTES","CORREOS, 270A R11",0
258,"CORTES","CORREOS, 270A R2",0
259,"CORTES","CORREOS, 270A R3",0
260,"CORTES","CORREOS, 270A R5",0
261,"CORTES","CORREOS, 270A R8",0
262,"CORTES","CORREOS, 270B R1",0
263,"CORTES","CORREOS, 270B R10",0
264,"CORTES","CORREOS, 270B R11",0
265,"CORTES","CORREOS, 270B R12",0
266,"CORTES","CORREOS, 270B R13",0
267,"CORTES","CORREOS, 270B R2",0
268,"CORTES","CORREOS, 270B R3",0
269,"CORTES","CORREOS, 270B R4",0
270,"CORTES","CORREOS, 270B R5",0
271,"CORTES","CORREOS, 270B R6",0
272,"CORTES","CORREOS, 270B R7",0
273,"CORTES","CORREOS, 270B R8",0
274,"CORTES","CORREOS, 270B R9",0
275,"Cortgene","Extract E, Reis 02, p10-18",0
276,"CORZO","1177 (125).1",0
277,"Coventry","NMM ADM/L/C214",0
278,"Crescent","NMM ADM/L/C219",0
279,"Crescent","NMM ADM/L/C220",0
280,"Crescent","NMM ADM/L/C221",0
281,"Crescent","NMM ADM/L/C222",0
282,"Crescent","NMM ADM/L/C223",0
283,"Crescent","NMM ADM/L/C224",0
284,"Crescent","NMM ADM/L/C225",0
285,"Crescent","NMM ADM/L/C226",0
286,"Crescent","NMM ADM/L/C227",0
287,"Crocodile","NMM ADM/L/C222",0
288,"Crown","NMM ADM/L/C227",0
289,"Crown","NMM ADM/L/C229",0
290,"Cruizer","NMM ADM/L/C235",0
291,"Cuffnells","NMM LOG/C/12",0
292,"Culloden","NMM ADM/L/C247",0
293,"Cumberland","NMM ADM/L/C257",0
294,"Cumberland","NMM DUD/2",0
295,"Curacao","MAR_D23905_951",0
296,"Curacao","MAR_D23905_952",0
297,"Curacao","MAR_D23905_954",0
298,"Curacao","Extract 1+, Reis 22",1
299,"Curacao","Extract 1+, Reis 22a",1
300,"Cyrene","PRO ADM 51/3092",0
301,"Dadalus","NMM ADM/L/D2",0
302,"Dadalus","NMM ADM/L/D3A",0
303,"Dageraad","MAR_D23905_4899",0
304,"Daphne","NMM ADM/L/D7B",0
305,"De Ruijter","I-048",0
306,"Deal Castle","NMM ADM/L/D26B",0
307,"Decade","NMM ADM/L/D27",0
308,"Dedaigneuse","NMM ADM/L/D29",0
309,"Defence","NMM ADM/L/D31b",0
310,"Delphina","FAM_1130_127",0
311,"DESCONOCIDO-01","MS. 272 DOC 12",0
312,"DESCONOCIDO-02","MS. 272, doc 3",0
313,"DESCONOCIDO-03","MS. 272 DOC 8",0
314,"DESCONOCIDO-04","MS. 156 DOC 003",0
315,"DESCONOCIDO-05","DESCONOCIDO-05",0
316,"DESCONOCIDO-06","MS. 128",0
317,"DESCONOCIDO-07","MS. 928",0
318,"DESCONOCIDO-08","MS. 166_005",0
319,"DESCONOCIDO-09","DESCONOCIDO-09",0
320,"DESCONOCIDO-10","MS. 168 (3)",0
321,"DESCONOCIDO-11","MS. 176/DOC9",0
322,"DESCONOCIDO-12","MS. 2086",0
323,"DESCONOCIDO-13","MS. 162 (4)",0
324,"DESCONOCIDO-14","MS. 407",0
325,"DESCONOCIDO-14","MS. 407",1
326,"DESCONOCIDO-15","MS. 965",0
327,"DESCONOCIDO-16","MS. 172 (3)",0
328,"DESCONOCIDO-17","MS. 2101",0
329,"DESCONOCIDO-18","MS. 111/DOC3",0
330,"DESCONOCIDO-18","MS. 111/DOC3",1
331,"DESCONOCIDO-18","MS. 111/DOC3",2
332,"DESCONOCIDO-19","MS. 176 DOC24(2)",0
333,"DESCONOCIDO-20","MS. 172 (1)",0
334,"DESCONOCIDO-21","MS. 176/DOC3(3)",0
335,"DESCONOCIDO-22","MS. 172 (1)",0
336,"DESCONOCIDO-23","MS. 922",0
337,"DESCONOCIDO-24","MS. 2235",0
338,"DESCONOCIDO-25","MS. 220",0
339,"DESCONOCIDO-26","MS. 966",0
340,"DESCONOCIDO-27 (RAYO)","MS. 110 DOC 1",0
341,"DESCONOCIDO-28","MS. 110 DOC 2",0
342,"DESCONOCIDO-28","MS. 110 DOC 2",1
343,"DESCONOCIDO-29","MS. 938",0
344,"Diadem","NMM ADM/L/D91",0
345,"Diana","Extract T, Reis 15",0
346,"Diana","NMM ADM/L/D108",0
347,"Diana","NMM ADM/L/D109",0
348,"Die Gebruder","MMR_H96",0
349,"Diligence","NMM ADM/L/D119",0
350,"Diligencia","CORREOS, 193A R3",0
351,"Diligencia","CORREOS, 193A R4",0
352,"Diligencia","CORREOS, 193A R5",0
353,"Diligencia","CORREOS, 193A R6",0
354,"Diligencia","CORREOS, 193A R7",0
355,"Diligencia","CORREOS, 195B R10",0
356,"Diligencia","CORREOS, 279B R7",0
357,"DILIGENTE","MS. 1791",0
358,"DILIGENTE","MS. 1794",1
359,"DILIGENTE","MS. 1780",2
360,"DILIGENTE","MS. 2023",3
361,"DILIGENTE","MS. 1797",4
362,"Diomede","NMM ADM/L/D125",0
363,"Diomede","NMM ADM/L/D126",0
364,"Doctrina et Amicitia","Extract O, Reis 12, p.101-113",0
365,"Doctrina et Amicitia","Extract O, Reis 15a",0
366,"Doctrina et Amicitia","Extract 15+ Reis 15",1
367,"Doddington","BL L/MAR/B/619B",0
368,"Dolfijn","MAR_D23905_1069",0
369,"Dolfijn","MAR_D23905_1070",0
370,"Dolphijn","FAM_1225_17",0
371,"Dolphijn","FAM_1225_20",0
372,"Dordrecht","MAR_D23318_44",0
373,"Dordrecht","MAR_D23905_1156",0
374,"Dordrecht","MAR_D23905_1157",0
375,"Dordrecht","MAR_D23905_1158",0
376,"Dordrecht","MAR_D23905_1159",0
377,"Dordrecht","MAR_D23905_1160",0
378,"Dordrecht","MAR_D23905_1161",0
379,"Dordregt","ADM_177_1153",0
380,"Dordregt","ADM_177_1158",0
381,"Dortenaar","MMR_H500_501",0
382,"Dover Castle","BL L/MAR/B/232b",0
383,"Dover Castle","BL L/MAR/B/232C",0
384,"Dover Castle","BL L/MAR/B/232D",0
385,"Dover Castle","BL L/MAR/B/232E",0
386,"Dragon","BL L/MAR/B/598B",0
387,"DRAGÓN","MS. 170",0
388,"Dreadnought","NMM ADM/L/D228",0
389,"Dreadnought","NMM ADM/L/D229",0
390,"Dreadnought","NMM ADM/L/D28",0
391,"Dregterlandt","MMR_VOC_H475",0
392,"Drie Gebroeders","Extract T, Reis 01, pp.2-11",0
393,"Drie Gesusters","MCC_20_329",0
394,"Drie Gesusters","MCC_20_338",0
395,"Drie Vrienden","Extract M, Reis 33",0
396,"Drie Vrienden","Extract M, Reis 36 pp. 133-142",0
397,"Drie Vrienden","Extract M, Reis 38, pp 151-158",0
398,"Drie Vrienden","Extract O, Reis 01, p. 1a-5a",0
399,"Drie Vrienden","Extract O, Reis 1",0
400,"Drie Vrienden","Extract O, Reis 2",0
401,"Dromedary","NMM ADM/L/S238",0
402,"Druid","NMM ADM/L/D239",0
403,"Druid","NMM ADM/L/D242",0
404,"Dublin","NMM ADM/L/D249",0
405,"Duke of Dorset","BL L/MAR/B/612F",0
406,"Duke of Dorset","BL L/MAR/B/614F",0
407,"Dunira","NMM LOG/C/61",0
408,"Dunkirk","NMM ADM/L/D295",0
409,"Eagle","NMM ADM/L/E14",0
410,"Eagle","NMM ADM/L/E57",0
411,"Earl of Mansfield","BL L/MAR/B/530D",0
412,"Earl of Mansfield","BL L/MAR/B/530E",0
413,"Earl of Middlesex","BL L/MAR/B/579A",0
414,"Earl of Middlesex","BL L/MAR/B/579B",0
415,"Earl of Middlesex","BL L/MAR/B/579C",0
416,"Earl Spencer","BL L/MAR/B/227D",0
417,"Earl Spencer","BL L/MAR/B/227E",0
418,"Earl Spencer","BL L/MAR/B/227F",0
419,"Earl Talbot","BL L/MAR/B/410E",0
420,"Earl Talbot","BL L/MAR/B/410F",0
421,"Echo","MAR_D23318_89",0
422,"Echo","MAR_D23905_1230",0
423,"Echo","MAR_D23905_1231",0
424,"Eendracht","MAR_D23905_1245",0
425,"Eenigheijt","MCC_20_383",0
426,"Eenigheijt","MCC_20_391",0
427,"Eensgezindheid","ADM_177_3382",0
428,"Eensgezindheid","MAR_D23318_54",0
429,"EFIGENIA","MS. 1474",0
430,"Egmond","Extract T, Reis 28",0
431,"Egmond","MAR_D23905_1246",0
432,"Egmont","NMM ADM/L/E57",0
433,"EL ACTIVO","MS. 126",0
434,"EL AGUILA","CORREOS, 191B R6",0
435,"EL AGUILA","CORREOS, 191B R7",0
436,"EL AGUILA","CORREOS, 192 R7",0
437,"EL AGUILA","CORREOS, 192B R2",0
438,"EL AGUILA","CORREOS, 192B R3",0
439,"EL AGUILA","CORREOS, 192B R6",0
440,"EL AGUILA","CORREOS, 279B R2",0
441,"EL AGUILA","CORREOS, 279B R3",0
442,"EL AGUILA","MS. 877",0
443,"EL AGUILA","MS. 880",0
444,"EL ANDALUZ","MS. 214",0
445,"EL CARMEN (ALIAS EL SALVADOR)","MS. 178",0
446,"EL COLON","CORREOS, 275A R1",0
447,"EL COLON","CORREOS, 275A R10",0
448,"EL COLON","CORREOS, 275A R11",0
449,"EL COLON","CORREOS, 275A R12",0
450,"EL COLON","CORREOS, 275A R13",0
451,"EL COLON","CORREOS, 275A R2",0
452,"EL COLON","CORREOS, 275A R3",0
453,"EL COLON","CORREOS, 275A R4",0
454,"EL COLON","CORREOS, 275A R5",0
455,"EL COLON","CORREOS, 275A R6",0
456,"EL COLON","CORREOS, 275A R7",0
457,"EL COLON","CORREOS, 275A R8",0
458,"EL COLON","CORREOS, 275A R9",0
459,"EL COLON","CORREOS, 275B R1",0
460,"EL COLON","CORREOS, 275B R10",0
461,"EL COLON","CORREOS, 275B R2",0
462,"EL COLON","CORREOS, 275B R3",0
463,"EL COLON","CORREOS, 275B R4",0
464,"EL COLON","CORREOS, 275B R5",0
465,"EL COLON","CORREOS, 275B R6",0
466,"EL COLON","CORREOS, 275B R7",0
467,"EL COLON 2?","CORREOS, 195B R11",0
468,"EL CUERVO","CORREOS, 279B R9",0
469,"EL DESPACHO","CORREOS, 279B R1",0
470,"EL FAMOSO SEVILLANO","MS. 243",0
471,"EL FÉNIX","MS. 422",0
472,"EL GALLARDO","MS. 2026",0
473,"El Gallego","CORREOS, 194B R1",0
474,"El Gallego","CORREOS, 194B R2",0
475,"EL GALLEGO","CORREOS, 272B R1",0
476,"EL GALLEGO","CORREOS, 272B R10",0
477,"EL GALLEGO","CORREOS, 272B R2",0
478,"EL GALLEGO","CORREOS, 272B R3",0
479,"EL GALLEGO","CORREOS, 272B R5",0
480,"EL GALLEGO","CORREOS, 272B R6",0
481,"EL GALLEGO","CORREOS, 272B R7",0
482,"EL GALLEGO","CORREOS, 272B R8",0
483,"EL GALLEGO","CORREOS, 272B R9",0
484,"EL GRAN PODER DE DIOS","MS. 176 (16)",0
485,"El Grimaldi","CORREOS, 192B R11",0
486,"El Grimaldi","CORREOS, 192B R12",0
487,"El Grimaldi","CORREOS, 192B R8",0
488,"El Grimaldi","CORREOS, 192B R9",0
489,"EL GRIMALDI","CORREOS, 269A R1",0
490,"EL GRIMALDI","CORREOS, 272A R1",0
491,"EL GRIMALDI","CORREOS, 272A R10",0
492,"EL GRIMALDI","CORREOS, 272A R11",0
493,"EL GRIMALDI","CORREOS, 272A R12",0
494,"EL GRIMALDI","CORREOS, 272A R13",0
495,"EL GRIMALDI","CORREOS, 272A R14",0
496,"EL GRIMALDI","CORREOS, 272A R2",0
497,"EL GRIMALDI","CORREOS, 272A R3",0
498,"EL GRIMALDI","CORREOS, 272A R4",0
499,"EL GRIMALDI","CORREOS, 272A R5",0
500,"EL GRIMALDI","CORREOS, 272A R6",0
501,"EL GRIMALDI","CORREOS, 272A R7",0
502,"EL GRIMALDI","CORREOS, 272A R8",0
503,"EL GRIMALDI","CORREOS, 272A R9",0
504,"EL HOPP","MS. 153 (1)",0
505,"EL HOPP","MS. 226",0
506,"EL HOPP","MS. 226",1
507,"EL JUPITER","MS. 160 (1)",0
508,"EL JUPITER","MS. 284",0
509,"EL JUPITER","MS. 284",1
510,"EL KAULIKAN","CORREOS, 279B R4",0
511,"EL KAULIKAN","CORREOS, 279B R6",0
512,"EL LANZAROTE","CORREOS, 275B R11",0
513,"EL LANZAROTE","CORREOS, 275B R13",0
514,"EL MAGALLANES","CORREOS, 276A R11",0
515,"EL MAGALLANES","CORREOS, 276A R12",0
516,"EL MAGALLANES","CORREOS, 276A R4",0
517,"EL MAGALLANES","CORREOS, 276A R5",0
518,"EL MARLLORQUÍN","MS. 1689",0
519,"EL MONARCA","MS. 209",0
520,"El Patagon","CORREOS, 194A R1",0
521,"El Patagon","CORREOS, 194A R2",0
522,"El Patagon","CORREOS, 194A R3",0
523,"El Patagon","CORREOS, 194A R4",0
524,"El Patagon","CORREOS, 194A R5",0
525,"El Patagon","CORREOS, 194A R6",0
526,"El Patagon","CORREOS, 194A R7",0
527,"El Patagon","CORREOS, 194A R8",0
528,"EL PATAGON","CORREOS, 274B R1",0
529,"EL PATAGON","CORREOS, 274B R10",0
530,"EL PATAGON","CORREOS, 274B R11",0
531,"EL PATAGON","CORREOS, 274B R2",0
532,"EL PATAGON","CORREOS, 274B R3",0
533,"EL PATAGON","CORREOS, 274B R4",0
534,"EL PATAGON","CORREOS, 274B R5",0
535,"EL PATAGON","CORREOS, 274B R6",0
536,"EL PATAGON","CORREOS, 274B R7",0
537,"EL PATAGON","CORREOS, 274B R8",0
538,"EL PATAGON","CORREOS, 274B R9",0
539,"EL PINZON","CORREOS, 279B R8",0
540,"EL PIZARRO","CORREOS, 193A R1",0
541,"EL PIZARRO","CORREOS, 193A R2",0
542,"EL PIZARRO","CORREOS, 269A R1",0
543,"EL PIZARRO","CORREOS, 269A R2",0
544,"EL PIZARRO","CORREOS, 269A R3",0
545,"EL PIZARRO","CORREOS, 269A R4",0
546,"EL PIZARRO","CORREOS, 269B R10",0
547,"EL PIZARRO","CORREOS, 269B R11",0
548,"EL PIZARRO","CORREOS, 269B R12",0
549,"EL PIZARRO","CORREOS, 269B R13",0
550,"EL PIZARRO","CORREOS, 269B R14",0
551,"EL PIZARRO","CORREOS, 269B R15",0
552,"EL PIZARRO","CORREOS, 269B R16",0
553,"EL PIZARRO","CORREOS, 269B R8",0
554,"EL PIZARRO","CORREOS, 269B R9",0
555,"El Quiros","CORREOS, 192A R6",0
556,"EL QUIROS","CORREOS, 271B R17",0
557,"EL QUIROS","CORREOS, 271B R18",0
558,"EL QUIROS","CORREOS, 271B R19",0
559,"EL QUIROS","CORREOS, 271B R20",0
560,"EL RAYO","MS. 1689",0
561,"El Real Carlos","CORREOS, 194B R5",0
562,"EL RELÁMPAGO","MS. 168 (4)",0
563,"EL RELÁMPAGO","MS. 1758",0
564,"El Rey","CORREOS, 194B R8",0
565,"EL REY","CORREOS, 273A R1",0
566,"EL REY","CORREOS, 273A R10",0
567,"EL REY","CORREOS, 273A R11",0
568,"EL REY","CORREOS, 273A R12",0
569,"EL REY","CORREOS, 273A R13",0
570,"EL REY","CORREOS, 273A R14",0
571,"EL REY","CORREOS, 273A R15",0
572,"EL REY","CORREOS, 273A R16",0
573,"EL REY","CORREOS, 273A R17",0
574,"EL REY","CORREOS, 273A R2",0
575,"EL REY","CORREOS, 273A R3",0
576,"EL REY","CORREOS, 273A R4",0
577,"EL REY","CORREOS, 273A R5",0
578,"EL REY","CORREOS, 273A R6",0
579,"EL REY","CORREOS, 273A R7",0
580,"EL REY","CORREOS, 273A R8",0
581,"EL REY","CORREOS, 273A R9",0
582,"EL REY","CORREOS, 273B R1",0
583,"EL REY","CORREOS, 273B R2",0
584,"EL REY","CORREOS, 273B R3",0
585,"EL REY","CORREOS, 273B R4",0
586,"EL REY","CORREOS, 273B R5",0
587,"EL REY","CORREOS, 273B R6",0
588,"EL SEPTENTRIÓN","MS. 162 (3)",0
589,"El Tucuman","CORREOS, 195B R8",0
590,"EL TUCUMAN","CORREOS, 271A R1",0
591,"EL TUCUMAN","CORREOS, 271A R3",0
592,"EL TUCUMAN","CORREOS, 271A R4",0
593,"EL TUCUMAN","CORREOS, 271A R6",0
594,"EL TUCUMAN","CORREOS, 271A R7",0
595,"Elephant","NMM AUS/4",0
596,"Elisabeth","Extract W, Reis 10",0
597,"Elise","HUA_498_24_14",0
